slurm-1557536.out:(304) Rank: 0, Memory: vMem, 458536 KB, pMem 83740 KB
slurm-1557537.out:(304) Rank: 0, Memory: vMem, 440572 KB, pMem 67816 KB
slurm-1557537.out:(304) Rank: 1, Memory: vMem, 410908 KB, pMem 37548 KB
slurm-1557538.out:(304) Rank: 0, Memory: vMem, 483716 KB, pMem 101392 KB
slurm-1557538.out:(304) Rank: 1, Memory: vMem, 452980 KB, pMem 70160 KB
slurm-1557538.out:(304) Rank: 2, Memory: vMem, 453648 KB, pMem 70844 KB
slurm-1557538.out:(304) Rank: 3, Memory: vMem, 453576 KB, pMem 70836 KB
slurm-1557539.out:(304) Rank: 0, Memory: vMem, 490552 KB, pMem 100316 KB
slurm-1557539.out:(304) Rank: 1, Memory: vMem, 460308 KB, pMem 69708 KB
slurm-1557539.out:(304) Rank: 2, Memory: vMem, 460340 KB, pMem 69788 KB
slurm-1557539.out:(304) Rank: 3, Memory: vMem, 460028 KB, pMem 69412 KB
slurm-1557539.out:(304) Rank: 4, Memory: vMem, 460924 KB, pMem 70344 KB
slurm-1557539.out:(304) Rank: 5, Memory: vMem, 460512 KB, pMem 69952 KB
slurm-1557539.out:(304) Rank: 6, Memory: vMem, 460608 KB, pMem 70112 KB
slurm-1557539.out:(304) Rank: 7, Memory: vMem, 460420 KB, pMem 69880 KB
slurm-1557540.out:(304) Rank: 0, Memory: vMem, 472700 KB, pMem 66152 KB
slurm-1557540.out:(304) Rank: 1, Memory: vMem, 441748 KB, pMem 35072 KB
slurm-1557540.out:(304) Rank: 10, Memory: vMem, 475772 KB, pMem 68928 KB
slurm-1557540.out:(304) Rank: 11, Memory: vMem, 475776 KB, pMem 68940 KB
slurm-1557540.out:(304) Rank: 12, Memory: vMem, 475772 KB, pMem 68924 KB
slurm-1557540.out:(304) Rank: 13, Memory: vMem, 475768 KB, pMem 68908 KB
slurm-1557540.out:(304) Rank: 14, Memory: vMem, 475772 KB, pMem 68940 KB
slurm-1557540.out:(304) Rank: 15, Memory: vMem, 475772 KB, pMem 68900 KB
slurm-1557540.out:(304) Rank: 2, Memory: vMem, 441680 KB, pMem 37104 KB
slurm-1557540.out:(304) Rank: 3, Memory: vMem, 441756 KB, pMem 35080 KB
slurm-1557540.out:(304) Rank: 4, Memory: vMem, 441752 KB, pMem 35064 KB
slurm-1557540.out:(304) Rank: 5, Memory: vMem, 441756 KB, pMem 35076 KB
slurm-1557540.out:(304) Rank: 6, Memory: vMem, 441752 KB, pMem 35096 KB
slurm-1557540.out:(304) Rank: 7, Memory: vMem, 441784 KB, pMem 37232 KB
slurm-1557540.out:(304) Rank: 8, Memory: vMem, 476900 KB, pMem 71972 KB
slurm-1557540.out:(304) Rank: 9, Memory: vMem, 475768 KB, pMem 68916 KB
slurm-1557541.out:(304) Rank: 0, Memory: vMem, 473860 KB, pMem 101644 KB
slurm-1557541.out:(304) Rank: 1, Memory: vMem, 444108 KB, pMem 71528 KB
slurm-1557541.out:(304) Rank: 2, Memory: vMem, 443640 KB, pMem 71148 KB
slurm-1557541.out:(304) Rank: 3, Memory: vMem, 443284 KB, pMem 70856 KB
slurm-1557542.out:(304) Rank: 0, Memory: vMem, 449844 KB, pMem 67652 KB
slurm-1557542.out:(304) Rank: 1, Memory: vMem, 418204 KB, pMem 35956 KB
slurm-1557542.out:(304) Rank: 2, Memory: vMem, 453016 KB, pMem 70436 KB
slurm-1557542.out:(304) Rank: 3, Memory: vMem, 452928 KB, pMem 70520 KB
slurm-1557542.out:(304) Rank: 4, Memory: vMem, 452748 KB, pMem 70220 KB
slurm-1557542.out:(304) Rank: 5, Memory: vMem, 452428 KB, pMem 69920 KB
slurm-1557542.out:(304) Rank: 6, Memory: vMem, 452592 KB, pMem 70144 KB
slurm-1557542.out:(304) Rank: 7, Memory: vMem, 452196 KB, pMem 69896 KB
slurm-1557543.out:(304) Rank: 0, Memory: vMem, 456716 KB, pMem 66672 KB
slurm-1557543.out:(304) Rank: 1, Memory: vMem, 425440 KB, pMem 35036 KB
slurm-1557543.out:(304) Rank: 10, Memory: vMem, 459392 KB, pMem 69016 KB
slurm-1557543.out:(304) Rank: 11, Memory: vMem, 459544 KB, pMem 69128 KB
slurm-1557543.out:(304) Rank: 12, Memory: vMem, 460528 KB, pMem 70112 KB
slurm-1557543.out:(304) Rank: 13, Memory: vMem, 459400 KB, pMem 69100 KB
slurm-1557543.out:(304) Rank: 14, Memory: vMem, 459404 KB, pMem 69164 KB
slurm-1557543.out:(304) Rank: 15, Memory: vMem, 459400 KB, pMem 69096 KB
slurm-1557543.out:(304) Rank: 2, Memory: vMem, 425360 KB, pMem 35020 KB
slurm-1557543.out:(304) Rank: 3, Memory: vMem, 425508 KB, pMem 37260 KB
slurm-1557543.out:(304) Rank: 4, Memory: vMem, 460848 KB, pMem 70052 KB
slurm-1557543.out:(304) Rank: 5, Memory: vMem, 459640 KB, pMem 69128 KB
slurm-1557543.out:(304) Rank: 6, Memory: vMem, 459728 KB, pMem 69392 KB
slurm-1557543.out:(304) Rank: 7, Memory: vMem, 459712 KB, pMem 69300 KB
slurm-1557543.out:(304) Rank: 8, Memory: vMem, 460528 KB, pMem 69964 KB
slurm-1557543.out:(304) Rank: 9, Memory: vMem, 459396 KB, pMem 69012 KB
slurm-1557544.out:(304) Rank: 0, Memory: vMem, 474344 KB, pMem 69996 KB
slurm-1557544.out:(304) Rank: 1, Memory: vMem, 441656 KB, pMem 35000 KB
slurm-1557544.out:(304) Rank: 10, Memory: vMem, 475624 KB, pMem 68936 KB
slurm-1557544.out:(304) Rank: 11, Memory: vMem, 475624 KB, pMem 68932 KB
slurm-1557544.out:(304) Rank: 12, Memory: vMem, 475624 KB, pMem 68920 KB
slurm-1557544.out:(304) Rank: 13, Memory: vMem, 475624 KB, pMem 68924 KB
slurm-1557544.out:(304) Rank: 14, Memory: vMem, 475624 KB, pMem 68932 KB
slurm-1557544.out:(304) Rank: 15, Memory: vMem, 475772 KB, pMem 68960 KB
slurm-1557544.out:(304) Rank: 16, Memory: vMem, 476644 KB, pMem 69780 KB
slurm-1557544.out:(304) Rank: 17, Memory: vMem, 475616 KB, pMem 68844 KB
slurm-1557544.out:(304) Rank: 18, Memory: vMem, 475544 KB, pMem 68976 KB
slurm-1557544.out:(304) Rank: 19, Memory: vMem, 475616 KB, pMem 68896 KB
slurm-1557544.out:(304) Rank: 2, Memory: vMem, 441656 KB, pMem 34916 KB
slurm-1557544.out:(304) Rank: 20, Memory: vMem, 475620 KB, pMem 69000 KB
slurm-1557544.out:(304) Rank: 21, Memory: vMem, 475616 KB, pMem 68928 KB
slurm-1557544.out:(304) Rank: 22, Memory: vMem, 475620 KB, pMem 69020 KB
slurm-1557544.out:(304) Rank: 23, Memory: vMem, 475608 KB, pMem 68868 KB
slurm-1557544.out:(304) Rank: 24, Memory: vMem, 476864 KB, pMem 70080 KB
slurm-1557544.out:(304) Rank: 25, Memory: vMem, 475620 KB, pMem 68944 KB
slurm-1557544.out:(304) Rank: 26, Memory: vMem, 475624 KB, pMem 68952 KB
slurm-1557544.out:(304) Rank: 27, Memory: vMem, 475628 KB, pMem 69048 KB
slurm-1557544.out:(304) Rank: 28, Memory: vMem, 475624 KB, pMem 71076 KB
slurm-1557544.out:(304) Rank: 29, Memory: vMem, 475624 KB, pMem 69068 KB
slurm-1557544.out:(304) Rank: 3, Memory: vMem, 441652 KB, pMem 34932 KB
slurm-1557544.out:(304) Rank: 30, Memory: vMem, 475624 KB, pMem 69040 KB
slurm-1557544.out:(304) Rank: 31, Memory: vMem, 475624 KB, pMem 69056 KB
slurm-1557544.out:(304) Rank: 4, Memory: vMem, 441656 KB, pMem 34924 KB
slurm-1557544.out:(304) Rank: 5, Memory: vMem, 441652 KB, pMem 34924 KB
slurm-1557544.out:(304) Rank: 6, Memory: vMem, 441652 KB, pMem 34988 KB
slurm-1557544.out:(304) Rank: 7, Memory: vMem, 441720 KB, pMem 35120 KB
slurm-1557544.out:(304) Rank: 8, Memory: vMem, 476772 KB, pMem 69856 KB
slurm-1557544.out:(304) Rank: 9, Memory: vMem, 475620 KB, pMem 68920 KB
slurm-1557545.out:(304) Rank: 0, Memory: vMem, 439772 KB, pMem 67864 KB
slurm-1557545.out:(304) Rank: 1, Memory: vMem, 442716 KB, pMem 72312 KB
slurm-1557545.out:(304) Rank: 2, Memory: vMem, 442876 KB, pMem 70628 KB
slurm-1557545.out:(304) Rank: 3, Memory: vMem, 442592 KB, pMem 70264 KB
slurm-1557545.out:(304) Rank: 4, Memory: vMem, 442520 KB, pMem 70148 KB
slurm-1557545.out:(304) Rank: 5, Memory: vMem, 442048 KB, pMem 69728 KB
slurm-1557545.out:(304) Rank: 6, Memory: vMem, 442296 KB, pMem 70104 KB
slurm-1557545.out:(304) Rank: 7, Memory: vMem, 441992 KB, pMem 69816 KB
slurm-1557546.out:(304) Rank: 0, Memory: vMem, 448656 KB, pMem 66884 KB
slurm-1557546.out:(304) Rank: 1, Memory: vMem, 417436 KB, pMem 35332 KB
slurm-1557546.out:(304) Rank: 10, Memory: vMem, 452556 KB, pMem 70268 KB
slurm-1557546.out:(304) Rank: 11, Memory: vMem, 451424 KB, pMem 69180 KB
slurm-1557546.out:(304) Rank: 12, Memory: vMem, 452640 KB, pMem 70328 KB
slurm-1557546.out:(304) Rank: 13, Memory: vMem, 451428 KB, pMem 69204 KB
slurm-1557546.out:(304) Rank: 14, Memory: vMem, 452400 KB, pMem 70040 KB
slurm-1557546.out:(304) Rank: 15, Memory: vMem, 451324 KB, pMem 71260 KB
slurm-1557546.out:(304) Rank: 2, Memory: vMem, 452588 KB, pMem 69972 KB
slurm-1557546.out:(304) Rank: 3, Memory: vMem, 451660 KB, pMem 69356 KB
slurm-1557546.out:(304) Rank: 4, Memory: vMem, 452728 KB, pMem 70168 KB
slurm-1557546.out:(304) Rank: 5, Memory: vMem, 451664 KB, pMem 69440 KB
slurm-1557546.out:(304) Rank: 6, Memory: vMem, 452792 KB, pMem 70404 KB
slurm-1557546.out:(304) Rank: 7, Memory: vMem, 451584 KB, pMem 69464 KB
slurm-1557546.out:(304) Rank: 8, Memory: vMem, 452428 KB, pMem 69960 KB
slurm-1557546.out:(304) Rank: 9, Memory: vMem, 451428 KB, pMem 69280 KB
slurm-1557547.out:(304) Rank: 0, Memory: vMem, 716320 KB, pMem 328324 KB
slurm-1557547.out:(304) Rank: 1, Memory: vMem, 427248 KB, pMem 38760 KB
slurm-1557547.out:(304) Rank: 10, Memory: vMem, 461040 KB, pMem 70776 KB
slurm-1557547.out:(304) Rank: 11, Memory: vMem, 461156 KB, pMem 70752 KB
slurm-1557547.out:(304) Rank: 12, Memory: vMem, 462272 KB, pMem 71612 KB
slurm-1557547.out:(304) Rank: 13, Memory: vMem, 461136 KB, pMem 70760 KB
slurm-1557547.out:(304) Rank: 14, Memory: vMem, 461060 KB, pMem 70768 KB
slurm-1557547.out:(304) Rank: 15, Memory: vMem, 461164 KB, pMem 70792 KB
slurm-1557547.out:(304) Rank: 16, Memory: vMem, 462428 KB, pMem 71864 KB
slurm-1557547.out:(304) Rank: 17, Memory: vMem, 461052 KB, pMem 70760 KB
slurm-1557547.out:(304) Rank: 18, Memory: vMem, 461128 KB, pMem 70840 KB
slurm-1557547.out:(304) Rank: 19, Memory: vMem, 461308 KB, pMem 70892 KB
slurm-1557547.out:(304) Rank: 2, Memory: vMem, 427244 KB, pMem 36848 KB
slurm-1557547.out:(304) Rank: 20, Memory: vMem, 462280 KB, pMem 71712 KB
slurm-1557547.out:(304) Rank: 21, Memory: vMem, 461048 KB, pMem 70704 KB
slurm-1557547.out:(304) Rank: 22, Memory: vMem, 461048 KB, pMem 70648 KB
slurm-1557547.out:(304) Rank: 23, Memory: vMem, 461080 KB, pMem 72856 KB
slurm-1557547.out:(304) Rank: 24, Memory: vMem, 462280 KB, pMem 73788 KB
slurm-1557547.out:(304) Rank: 25, Memory: vMem, 461048 KB, pMem 70812 KB
slurm-1557547.out:(304) Rank: 26, Memory: vMem, 461048 KB, pMem 70832 KB
slurm-1557547.out:(304) Rank: 27, Memory: vMem, 461228 KB, pMem 70868 KB
slurm-1557547.out:(304) Rank: 28, Memory: vMem, 460212 KB, pMem 69696 KB
slurm-1557547.out:(304) Rank: 29, Memory: vMem, 458932 KB, pMem 68684 KB
slurm-1557547.out:(304) Rank: 3, Memory: vMem, 427240 KB, pMem 39052 KB
slurm-1557547.out:(304) Rank: 30, Memory: vMem, 459008 KB, pMem 68688 KB
slurm-1557547.out:(304) Rank: 31, Memory: vMem, 458932 KB, pMem 70676 KB
slurm-1557547.out:(304) Rank: 4, Memory: vMem, 428608 KB, pMem 38036 KB
slurm-1557547.out:(304) Rank: 5, Memory: vMem, 427368 KB, pMem 37340 KB
slurm-1557547.out:(304) Rank: 6, Memory: vMem, 427516 KB, pMem 39264 KB
slurm-1557547.out:(304) Rank: 7, Memory: vMem, 427472 KB, pMem 37356 KB
slurm-1557547.out:(304) Rank: 8, Memory: vMem, 462268 KB, pMem 71620 KB
slurm-1557547.out:(304) Rank: 9, Memory: vMem, 461040 KB, pMem 70692 KB
slurm-1557548.out:(304) Rank: 0, Memory: vMem, 731708 KB, pMem 325604 KB
slurm-1557548.out:(304) Rank: 1, Memory: vMem, 442756 KB, pMem 38092 KB
slurm-1557548.out:(304) Rank: 10, Memory: vMem, 442436 KB, pMem 38016 KB
slurm-1557548.out:(304) Rank: 11, Memory: vMem, 442364 KB, pMem 35976 KB
slurm-1557548.out:(304) Rank: 12, Memory: vMem, 442440 KB, pMem 35976 KB
slurm-1557548.out:(304) Rank: 13, Memory: vMem, 442364 KB, pMem 38040 KB
slurm-1557548.out:(304) Rank: 14, Memory: vMem, 442440 KB, pMem 36008 KB
slurm-1557548.out:(304) Rank: 15, Memory: vMem, 442544 KB, pMem 35980 KB
slurm-1557548.out:(304) Rank: 16, Memory: vMem, 443404 KB, pMem 36572 KB
slurm-1557548.out:(304) Rank: 17, Memory: vMem, 442360 KB, pMem 35988 KB
slurm-1557548.out:(304) Rank: 18, Memory: vMem, 442440 KB, pMem 36036 KB
slurm-1557548.out:(304) Rank: 19, Memory: vMem, 442512 KB, pMem 36056 KB
slurm-1557548.out:(304) Rank: 2, Memory: vMem, 442588 KB, pMem 35868 KB
slurm-1557548.out:(304) Rank: 20, Memory: vMem, 442436 KB, pMem 36040 KB
slurm-1557548.out:(304) Rank: 21, Memory: vMem, 442436 KB, pMem 36044 KB
slurm-1557548.out:(304) Rank: 22, Memory: vMem, 442436 KB, pMem 36016 KB
slurm-1557548.out:(304) Rank: 23, Memory: vMem, 442472 KB, pMem 36084 KB
slurm-1557548.out:(304) Rank: 24, Memory: vMem, 443724 KB, pMem 39076 KB
slurm-1557548.out:(304) Rank: 25, Memory: vMem, 442348 KB, pMem 35972 KB
slurm-1557548.out:(304) Rank: 26, Memory: vMem, 442344 KB, pMem 35960 KB
slurm-1557548.out:(304) Rank: 27, Memory: vMem, 442424 KB, pMem 36068 KB
slurm-1557548.out:(304) Rank: 28, Memory: vMem, 442476 KB, pMem 35984 KB
slurm-1557548.out:(304) Rank: 29, Memory: vMem, 442424 KB, pMem 35992 KB
slurm-1557548.out:(304) Rank: 3, Memory: vMem, 442596 KB, pMem 35880 KB
slurm-1557548.out:(304) Rank: 30, Memory: vMem, 442424 KB, pMem 35988 KB
slurm-1557548.out:(304) Rank: 31, Memory: vMem, 442528 KB, pMem 36060 KB
slurm-1557548.out:(304) Rank: 32, Memory: vMem, 443388 KB, pMem 36764 KB
slurm-1557548.out:(304) Rank: 33, Memory: vMem, 442424 KB, pMem 36092 KB
slurm-1557548.out:(304) Rank: 34, Memory: vMem, 442496 KB, pMem 36136 KB
slurm-1557548.out:(304) Rank: 35, Memory: vMem, 442348 KB, pMem 36080 KB
slurm-1557548.out:(304) Rank: 36, Memory: vMem, 442420 KB, pMem 36064 KB
slurm-1557548.out:(304) Rank: 37, Memory: vMem, 442344 KB, pMem 36080 KB
slurm-1557548.out:(304) Rank: 38, Memory: vMem, 442344 KB, pMem 36012 KB
slurm-1557548.out:(304) Rank: 39, Memory: vMem, 442452 KB, pMem 36112 KB
slurm-1557548.out:(304) Rank: 4, Memory: vMem, 442588 KB, pMem 35880 KB
slurm-1557548.out:(304) Rank: 40, Memory: vMem, 477572 KB, pMem 70872 KB
slurm-1557548.out:(304) Rank: 41, Memory: vMem, 476560 KB, pMem 69884 KB
slurm-1557548.out:(304) Rank: 42, Memory: vMem, 476480 KB, pMem 69936 KB
slurm-1557548.out:(304) Rank: 43, Memory: vMem, 476564 KB, pMem 69944 KB
slurm-1557548.out:(304) Rank: 44, Memory: vMem, 476484 KB, pMem 69944 KB
slurm-1557548.out:(304) Rank: 45, Memory: vMem, 476640 KB, pMem 69972 KB
slurm-1557548.out:(304) Rank: 46, Memory: vMem, 476488 KB, pMem 69960 KB
slurm-1557548.out:(304) Rank: 47, Memory: vMem, 476608 KB, pMem 72048 KB
slurm-1557548.out:(304) Rank: 48, Memory: vMem, 475536 KB, pMem 70728 KB
slurm-1557548.out:(304) Rank: 49, Memory: vMem, 474452 KB, pMem 67860 KB
slurm-1557548.out:(304) Rank: 5, Memory: vMem, 442520 KB, pMem 35840 KB
slurm-1557548.out:(304) Rank: 50, Memory: vMem, 474444 KB, pMem 67764 KB
slurm-1557548.out:(304) Rank: 51, Memory: vMem, 474444 KB, pMem 67728 KB
slurm-1557548.out:(304) Rank: 52, Memory: vMem, 474372 KB, pMem 67756 KB
slurm-1557548.out:(304) Rank: 53, Memory: vMem, 474380 KB, pMem 67744 KB
slurm-1557548.out:(304) Rank: 54, Memory: vMem, 474372 KB, pMem 67704 KB
slurm-1557548.out:(304) Rank: 55, Memory: vMem, 474488 KB, pMem 67832 KB
slurm-1557548.out:(304) Rank: 56, Memory: vMem, 475304 KB, pMem 68664 KB
slurm-1557548.out:(304) Rank: 57, Memory: vMem, 474444 KB, pMem 67904 KB
slurm-1557548.out:(304) Rank: 58, Memory: vMem, 474448 KB, pMem 67904 KB
slurm-1557548.out:(304) Rank: 59, Memory: vMem, 474496 KB, pMem 69900 KB
slurm-1557548.out:(304) Rank: 6, Memory: vMem, 442668 KB, pMem 35944 KB
slurm-1557548.out:(304) Rank: 60, Memory: vMem, 474420 KB, pMem 69864 KB
slurm-1557548.out:(304) Rank: 61, Memory: vMem, 474376 KB, pMem 67848 KB
slurm-1557548.out:(304) Rank: 62, Memory: vMem, 474496 KB, pMem 67896 KB
slurm-1557548.out:(304) Rank: 63, Memory: vMem, 474420 KB, pMem 67808 KB
slurm-1557548.out:(304) Rank: 7, Memory: vMem, 442664 KB, pMem 36176 KB
slurm-1557548.out:(304) Rank: 8, Memory: vMem, 443332 KB, pMem 36632 KB
slurm-1557548.out:(304) Rank: 9, Memory: vMem, 442364 KB, pMem 37976 KB
slurm-1557566.out:(304) Rank: 0, Memory: vMem, 430156 KB, pMem 47520 KB
slurm-1557566.out:(304) Rank: 1, Memory: vMem, 400436 KB, pMem 17264 KB
slurm-1557567.out:(304) Rank: 0, Memory: vMem, 436220 KB, pMem 45920 KB
slurm-1557567.out:(304) Rank: 1, Memory: vMem, 406368 KB, pMem 17676 KB
slurm-1557567.out:(304) Rank: 2, Memory: vMem, 406292 KB, pMem 15644 KB
slurm-1557567.out:(304) Rank: 3, Memory: vMem, 406296 KB, pMem 15664 KB
slurm-1557569.out:(304) Rank: 0, Memory: vMem, 485828 KB, pMem 79072 KB
slurm-1557569.out:(304) Rank: 1, Memory: vMem, 455780 KB, pMem 48816 KB
slurm-1557569.out:(304) Rank: 2, Memory: vMem, 455708 KB, pMem 48804 KB
slurm-1557569.out:(304) Rank: 3, Memory: vMem, 455788 KB, pMem 48828 KB
slurm-1557569.out:(304) Rank: 4, Memory: vMem, 455788 KB, pMem 48804 KB
slurm-1557569.out:(304) Rank: 5, Memory: vMem, 455792 KB, pMem 48788 KB
slurm-1557569.out:(304) Rank: 6, Memory: vMem, 455796 KB, pMem 48824 KB
slurm-1557569.out:(304) Rank: 7, Memory: vMem, 455716 KB, pMem 50844 KB
